,time,price,text,path,value,group,time1,time2
64,1546209727.5520089,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,231.76364278793335,240
65,1546209727.725033,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,231.93666696548462,240
66,1546209733.1442409,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,237.3558747768402,240
67,1546209738.426333,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,242.6379668712616,240
68,1546209738.5262046,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,242.7378385066986,240
69,1546209738.5883179,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,242.7999517917633,240
70,1546209743.88498,123,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,248.09661388397217,240
71,1546209744.0324519,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,248.2440857887268,240
72,1546209749.4103382,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,253.6219720840454,260
73,1546209749.500861,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,253.7124948501587,260
74,1546209754.8178508,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,259.02948474884033,260
75,1546209760.060672,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,264.2723059654236,260
76,1546209765.360747,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,269.5723810195923,260
77,1546209765.4455626,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,269.65719652175903,260
78,1546209770.657185,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,274.8688189983368,280
79,1546209770.7541711,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,274.96580505371094,280
80,1546209776.023679,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,280.2353129386902,280
81,1546209781.489604,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,285.7012379169464,280
82,1546209786.7961712,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,291.00780510902405,300
83,1546209792.054132,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,296.26576590538025,300
84,1546209792.1629078,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,296.37454175949097,300
85,1546209797.5811641,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,301.79279804229736,300
86,1546209797.7610626,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,301.97269654273987,300
87,1546209802.96562,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,307.1772539615631,300
88,1546209808.308002,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,312.5196359157562,320
89,1546209813.5881732,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,317.7998070716858,320
90,1546209813.846209,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,318.0578429698944,320
91,1546209819.164057,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,323.37569093704224,320
92,1546209873.9032488,42,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,378.1148827075958,380
93,1546209873.9073868,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,378.1190207004547,380
94,1546209873.910223,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,378.1218569278717,380
95,1546209873.912865,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,378.12449884414673,380
96,1546209878.946264,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,383.15789794921875,380
97,1546209878.9825199,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,383.19415378570557,380
98,1546209884.027709,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,388.23934292793274,380
99,1546209889.106737,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,393.3183708190918,400
100,1546209894.181702,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,398.3933358192444,400
101,1546209894.2098231,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,398.42145705223083,400
102,1546209899.252408,40,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,403.4640419483185,400
