,time,price,hash,spot,value,delta
0,20.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54820_1546209503.336368_log.csv,101,0
1,20.0,101,76498c1302543dd3d692b79c789f197e,/tmp/spot101_54611_1546209500.1567092_log.csv,112,11
0,20.0,101,96bafcfa7800442694d8b6c77e3b0b22,/tmp/spot101_54477_1546209498.440031_log.csv,122,21
0,20.0,101,2b01d80d81949280c9c70ba79e915369,/tmp/spot101_54471_1546209498.420522_log.csv,137,36
0,20.0,101,2b01d80d81949280c9c70ba79e915369,/tmp/spot101_54959_1546209505.688989_log.csv,137,36
0,21.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_55611_1546209515.39358_log.csv,113,12
0,21.0,101,197ee8948d527da0a852e8f1f0661ff0,/tmp/spot101_54787_1546209502.82369_log.csv,103,2
0,21.0,101,62e4061887465f6e793f8b26994df2f1,/tmp/spot101_55099_1546209507.828485_log.csv,126,25
0,21.0,101,222d705bfad32733d2800c7945883532,/tmp/spot101_54687_1546209501.169118_log.csv,140,39
0,21.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54777_1546209502.771483_log.csv,101,0
0,21.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54826_1546209503.436299_log.csv,101,0
0,21.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_54659_1546209500.780761_log.csv,113,12
1,22.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_54354_1546209496.4801438_log.csv,113,12
0,22.0,101,463c135c6c11a7f696d485cea90f444a,/tmp/spot101_54891_1546209504.454516_log.csv,125,24
1,22.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54362_1546209496.550466_log.csv,119,18
0,22.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_54851_1546209503.9281049_log.csv,123,22
1,22.0,101,24274a1a56eaa47619d9ade93bd8a292,/tmp/spot101_54440_1546209498.022263_log.csv,139,38
0,22.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54993_1546209506.088118_log.csv,101,0
0,22.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_55140_1546209508.318521_log.csv,113,12
1,22.0,101,24274a1a56eaa47619d9ade93bd8a292,/tmp/spot101_54582_1546209499.7271512_log.csv,139,38
0,22.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_54771_1546209502.585561_log.csv,113,12
